method,fraction,run,algorithm,auc_score
nar,0.5,15,RandomForestScorer,0.8232671226329712
nar,0.3,15,RandomForestScorer,0.8408059252003288
nar,0.1,2,AUMScorer,0.6858247159705408
nnar,0.4,19,ModelScorer,0.5714285714285714
ncar,0.05,0,ModelScorer,0.9285714285714286
nar,0.35,5,RandomForestScorer,0.8304791158813286
nar,0.2,4,RandomForestScorer,0.8459222842469124
ncar,0.3,10,AUMScorer,0.5049875188664735
nnar,0.25,13,AUMScorer,0.7366972979818793
nar,0.05,19,AUMScorer,0.7576952064227034
ncar,0.5,16,ModelScorer,0.6428571428571429
ncar,0.35,6,ModelScorer,0.7142857142857143
ncar,0.05,8,RandomForestScorer,0.8823437335365412
nnar,0.4,5,RandomForestScorer,0.8078446688297287
nnar,0.45,17,RandomForestScorer,0.7994721424694895
nnar,0.5,7,RandomForestScorer,0.7941495708963752
nnar,0.35,16,AUMScorer,0.80429015647646
nar,0.25,16,ModelScorer,0.7142857142857143
nar,0.5,16,RandomForestScorer,0.7865812826153945
nar,0.25,14,AUMScorer,0.5142726642145832
nar,0.4,5,RandomForestScorer,0.8201252261707082
nar,0.3,4,AUMScorer,0.7580585739704406
nnar,0.35,0,ModelScorer,0.7142857142857143
ncar,0.35,14,RandomForestScorer,0.8196126700502905
ncar,0.15,1,AUMScorer,0.7812674580581578
nnar,0.3,1,ModelScorer,0.5714285714285714
nar,0.5,10,ModelScorer,0.7857142857142857
nnar,0.05,5,AUMScorer,0.7167979691848172
nar,0.35,0,ModelScorer,0.7857142857142857
nnar,0.1,7,ModelScorer,0.6428571428571429
ncar,0.2,12,ModelScorer,0.7142857142857143
ncar,0.4,6,ModelScorer,0.7142857142857143
nnar,0.45,15,AUMScorer,0.5664588793397705
nar,0.1,16,ModelScorer,0.7857142857142857
nar,0.15,6,ModelScorer,0.8571428571428571
nnar,0.4,16,AUMScorer,0.6127006410438435
nar,0.45,15,AUMScorer,0.6219225035470708
ncar,0.2,1,AUMScorer,0.704875338880552
nnar,0.4,0,ModelScorer,0.7142857142857143
ncar,0.3,15,ModelScorer,0.7142857142857143
nnar,0.25,18,ModelScorer,0.7857142857142857
ncar,0.4,14,RandomForestScorer,0.8111529151828141
nnar,0.45,12,ModelScorer,0.7857142857142857
ncar,0.5,13,AUMScorer,0.775774717624928
ncar,0.25,10,RandomForestScorer,0.8367802138657221
