method,fraction,run,algorithm,auc_score
nnar,0.15,7,RandomForestScorer,0.7916307913034503
nnar,0.2,8,ModelScorer,0.7857142857142856
ncar,0.4,2,RandomForestScorer,0.7863982077293149
ncar,0.45,14,AUMScorer,0.5011631227791574
nar,0.25,11,ModelScorer,0.9285714285714286
nar,0.3,1,ModelScorer,0.9285714285714284
nnar,0.2,1,AUMScorer,0.5581142505981626
nar,0.25,13,AUMScorer,0.9641578816791736
nar,0.45,7,AUMScorer,0.5011848858747516
ncar,0.5,14,AUMScorer,0.9278047884031884
nar,0.45,13,RandomForestScorer,0.7660998602061784
nnar,0.3,11,ModelScorer,0.6428571428571428
nnar,0.45,13,RandomForestScorer,0.7452870854159707
nnar,0.25,19,RandomForestScorer,0.7895683675831096
nnar,0.35,1,ModelScorer,0.7142857142857142
nnar,0.1,17,ModelScorer,0.8571428571428572
nnar,0.35,3,AUMScorer,0.5108185102961704
ncar,0.05,5,RandomForestScorer,0.9072075235728788
nnar,0.15,7,ModelScorer,0.8571428571428571
ncar,0.4,11,ModelScorer,0.7142857142857142
ncar,0.45,1,ModelScorer,0.7857142857142857
ncar,0.1,19,ModelScorer,0.8571428571428572
ncar,0.35,5,AUMScorer,0.9823486916575328
nnar,0.4,10,ModelScorer,0.5714285714285714
ncar,0.15,9,ModelScorer,0.9285714285714284
nar,0.05,11,AUMScorer,0.935218786899246
nnar,0.45,0,ModelScorer,0.6428571428571428
nar,0.05,17,RandomForestScorer,0.9069684339575328
ncar,0.15,11,AUMScorer,0.917313314963524
nnar,0.5,12,ModelScorer,0.7142857142857142
ncar,0.3,12,RandomForestScorer,0.7987107311937205
nar,0.45,13,ModelScorer,0.7142857142857142
nnar,0.05,17,RandomForestScorer,0.8780204273766605
ncar,0.35,2,RandomForestScorer,0.794167461170649
nnar,0.5,14,AUMScorer,0.934852729046591
ncar,0.2,1,RandomForestScorer,0.8281477968502358
ncar,0.1,18,RandomForestScorer,0.8725980167863676
nnar,0.15,10,RandomForestScorer,0.8237055057855088
ncar,0.05,5,ModelScorer,0.9285714285714284
ncar,0.4,5,AUMScorer,0.4697065987707713
ncar,0.5,15,ModelScorer,0.6428571428571428
ncar,0.2,10,ModelScorer,0.8571428571428571
ncar,0.35,11,ModelScorer,0.7142857142857142
nar,0.05,17,ModelScorer,0.9285714285714284
nnar,0.2,10,RandomForestScorer,0.8198243528278655
nar,0.1,10,ModelScorer,0.8571428571428571
ncar,0.2,2,RandomForestScorer,0.8280232338239967
nar,0.5,6,RandomForestScorer,0.7792184541637422
ncar,0.3,14,AUMScorer,0.977567951692619
nar,0.45,7,RandomForestScorer,0.7693413889294811
ncar,0.5,14,RandomForestScorer,0.7748492830963306
nar,0.25,13,RandomForestScorer,0.8154258424464961
nnar,0.15,10,ModelScorer,0.7857142857142857
nar,0.4,3,ModelScorer,0.7857142857142858
nnar,0.3,13,AUMScorer,0.949226550952427
ncar,0.1,0,ModelScorer,0.8571428571428572
nar,0.4,5,AUMScorer,0.9833631587584262
nnar,0.45,3,ModelScorer,0.5714285714285714
ncar,0.25,3,RandomForestScorer,0.8120936206289868
nnar,0.2,10,ModelScorer,0.7142857142857142
ncar,0.2,2,ModelScorer,0.7142857142857143
ncar,0.35,5,RandomForestScorer,0.7964052734417113
nar,0.1,13,AUMScorer,0.512557267385987
ncar,0.3,15,AUMScorer,0.9611762031916186
nar,0.5,6,ModelScorer,0.6428571428571428
ncar,0.2,4,AUMScorer,0.9568225768571718
nar,0.5,8,AUMScorer,0.9733095981671332
ncar,0.15,11,RandomForestScorer,0.8453428854454457
nar,0.3,4,RandomForestScorer,0.8051034441250884
nnar,0.3,14,RandomForestScorer,0.7375884997371045
nnar,0.5,14,RandomForestScorer,0.7731614765447677
nnar,0.35,4,RandomForestScorer,0.7774507898834622
nar,0.15,4,AUMScorer,0.9455331012769153
nnar,0.1,14,AUMScorer,0.9299811281528532
