method,fraction,run,algorithm,auc_score
ncar,0.3,3,AUMScorer,0.450286123452371
ncar,0.3,3,RandomForestScorer,0.7381749429571909
ncar,0.3,3,ModelScorer,0.5714285714285714
ncar,0.3,4,AUMScorer,0.659793116373405
ncar,0.3,4,RandomForestScorer,0.7323962287692336
ncar,0.3,4,ModelScorer,0.7857142857142857
ncar,0.3,5,AUMScorer,0.5539979472957172
ncar,0.3,5,RandomForestScorer,0.6358106862627024
ncar,0.3,5,ModelScorer,0.8571428571428571
ncar,0.3,6,AUMScorer,0.5400909429633751
ncar,0.3,6,RandomForestScorer,0.6678122168101082
ncar,0.3,6,ModelScorer,0.7142857142857143
ncar,0.3,7,AUMScorer,0.622373818539538
ncar,0.3,7,RandomForestScorer,0.7125144085803301
ncar,0.3,7,ModelScorer,0.6428571428571429
ncar,0.3,8,AUMScorer,0.6635714421243719
ncar,0.3,8,RandomForestScorer,0.7019267355098664
ncar,0.3,8,ModelScorer,0.7857142857142857
ncar,0.3,9,AUMScorer,0.5949784317925302
ncar,0.3,9,RandomForestScorer,0.6779865447800711
ncar,0.3,9,ModelScorer,0.6428571428571429
ncar,0.35,0,AUMScorer,0.4865837291722066
ncar,0.35,0,RandomForestScorer,0.7115008050215654
ncar,0.35,0,ModelScorer,0.5714285714285714
ncar,0.35,1,AUMScorer,0.5081914710613409
ncar,0.35,1,RandomForestScorer,0.7245074390650117
ncar,0.35,1,ModelScorer,0.7142857142857143
ncar,0.35,2,AUMScorer,0.4618416134908554
ncar,0.35,2,RandomForestScorer,0.6412461913926473
ncar,0.35,2,ModelScorer,0.6428571428571429
ncar,0.35,3,AUMScorer,0.592794528349144
ncar,0.35,3,RandomForestScorer,0.6602012297419068
ncar,0.35,3,ModelScorer,0.8571428571428572
ncar,0.35,4,AUMScorer,0.7246473559080335
ncar,0.35,4,RandomForestScorer,0.7282923008949159
ncar,0.35,4,ModelScorer,0.7142857142857142
ncar,0.35,5,AUMScorer,0.6339150234766275
ncar,0.35,5,RandomForestScorer,0.6619148517649638
ncar,0.35,5,ModelScorer,0.6428571428571428
ncar,0.35,6,AUMScorer,0.7229212373943485
